module,domain,name,license,has_qweb,has_data,application,hub_score,is_leaf,depends,category
account_intrastat,accounting,Intrastat Reports,EMPTY,False,True,,0,Yes,account_reports,Accounting
account_invoice_extract,accounting,Account Invoice Extract,EMPTY,False,True,,0,Yes,"account_accountant,iap,mail_enterprise",Accounting
account_plaid,accounting,account_plaid,OEEL-1,True,True,,0,Yes,account_online_sync,Accounting
account_predictive_bills,accounting,Predictive vendor bill data,EMPTY,False,True,,0,Yes,account_accountant,Accounting
account_reports_followup,accounting,Payment Follow-up Management,OEEL-1,True,True,,0,Yes,"account,mail,account_reports",Accounting
account_sepa,accounting,SEPA Credit Transfer,OEEL-1,False,True,,0,Yes,"account_batch_payment,base_iban",Accounting
account_sepa_direct_debit,accounting,SEPA Direct Debit,EMPTY,False,True,,0,Yes,"base_iban,account_batch_payment",Accounting
account_taxcloud,accounting,Account TaxCloud,OEEL-1,False,True,,0,Yes,l10n_us,Accounting
account_yodlee,accounting,Yodlee,OEEL-1,True,True,,0,Yes,account_online_sync,Accounting
analytic_enterprise,other,Analytic Accounting Enterprise,EMPTY,False,True,,0,Yes,"web_grid,analytic,account",Hidden/Dependency
barcodes_mobile,other,Barcode in Mobile,OEEL-1,False,True,,0,Yes,"barcodes,web_mobile",Mobile
base_automation_hr_contract,other,Automated Action based on Employee Contracts,EMPTY,False,True,,0,Yes,"base_automation,hr_contract",Human Resources
crm_enterprise,other,CRM enterprise,EMPTY,False,True,False,0,Yes,"crm,web_dashboard,web_cohort",Sales
currency_rate_live,other,Live Currency Exchange Rate,OEEL-1,False,True,,0,Yes,account,Accounting
delivery_barcode,delivery,Delivery Barcode Scanning,OEEL-1,False,True,,0,Yes,"stock_barcode,delivery",
delivery_bpost,delivery,bpost Shipping,OEEL-1,False,True,,0,Yes,"delivery,mail",Warehouse
delivery_dhl,delivery,DHL Express Shipping,OEEL-1,False,True,,0,Yes,"delivery,mail",Warehouse
delivery_easypost,delivery,Easypost Shipping,EMPTY,False,True,,0,Yes,"delivery,mail",Warehouse
delivery_fedex,delivery,Fedex Shipping,OEEL-1,False,True,,0,Yes,"delivery,mail",Warehouse
delivery_ups,delivery,UPS Shipping,OEEL-1,False,True,,0,Yes,"delivery,mail",Warehouse
delivery_usps,delivery,United States Postal Service (USPS) Shipping,OEEL-1,False,True,,0,Yes,"delivery,mail",Warehouse
documents,documents_collab,Documents,EMPTY,True,True,True,0,Yes,"base,mail,portal,web",Extra Tools
documents_account,documents_collab,Documents - Accounting,EMPTY,False,True,,0,Yes,"documents,account",Uncategorized
documents_product,documents_collab,Documents - Product,EMPTY,False,True,,0,Yes,"documents,product",Uncategorized
documents_project,documents_collab,Documents - Projects,EMPTY,False,True,,0,Yes,"documents,project",Uncategorized
documents_sign,documents_collab,Documents - Signatures,EMPTY,False,True,,0,Yes,"documents,sign",Uncategorized
event_barcode,other,Event Barcode Scanning,OEEL-1,True,True,,0,Yes,"barcodes,event",Tools
