module,path,name,summary,version,category,depends,auto_install,application,license,has_qweb,has_data
account_yodlee,addons/enterprise/account_yodlee,Yodlee,Yodlee Finance,2.0,Accounting,account_online_sync,True,,OEEL-1,True,True
analytic_enterprise,addons/enterprise/analytic_enterprise,Analytic Accounting Enterprise,,0.1,Hidden/Dependency,"web_grid,analytic,account",True,,,False,True
barcodes_mobile,addons/enterprise/barcodes_mobile,Barcode in Mobile,Barcode scan in Mobile,1.0,Mobile,"barcodes,web_mobile",True,,OEEL-1,False,True
base_automation_hr_contract,addons/enterprise/base_automation_hr_contract,Automated Action based on Employee Contracts,,1.0,Human Resources,"base_automation,hr_contract",True,,,False,True
crm_enterprise,addons/enterprise/crm_enterprise,CRM enterprise,Advanced features for CRM,1.0,Sales,"crm,web_dashboard,web_cohort",True,False,,False,True
currency_rate_live,addons/enterprise/currency_rate_live,Live Currency Exchange Rate,,1.0,Accounting,account,True,,OEEL-1,False,True
delivery_barcode,addons/enterprise/delivery_barcode,Delivery Barcode Scanning,Add barcode scanning facilities to Delivery.,1.0,,"stock_barcode,delivery",True,,OEEL-1,False,True
delivery_bpost,addons/enterprise/delivery_bpost,bpost Shipping,,1.0,Warehouse,"delivery,mail",,,OEEL-1,False,True
delivery_dhl,addons/enterprise/delivery_dhl,DHL Express Shipping,,1.0,Warehouse,"delivery,mail",,,OEEL-1,False,True
delivery_easypost,addons/enterprise/delivery_easypost,Easypost Shipping,,1.0,Warehouse,"delivery,mail",,,,False,True
delivery_fedex,addons/enterprise/delivery_fedex,Fedex Shipping,,1.0,Warehouse,"delivery,mail",,,OEEL-1,False,True
delivery_ups,addons/enterprise/delivery_ups,UPS Shipping,,1.0,Warehouse,"delivery,mail",,,OEEL-1,False,True
delivery_usps,addons/enterprise/delivery_usps,United States Postal Service (USPS) Shipping,,1.0,Warehouse,"delivery,mail",,,OEEL-1,False,True
documents,addons/enterprise/documents,Documents,Document management,1.0,Extra Tools,"base,mail,portal,web",,True,,True,True
documents_account,addons/enterprise/documents_account,Documents - Accounting,Invoices from Documents,1.0,Uncategorized,"documents,account",True,,,False,True
documents_product,addons/enterprise/documents_product,Documents - Product,Products from Documents,1.0,Uncategorized,"documents,product",True,,,False,True
documents_project,addons/enterprise/documents_project,Documents - Projects,Project from documents,1.0,Uncategorized,"documents,project",True,,,False,True
documents_sign,addons/enterprise/documents_sign,Documents - Signatures,Signature templates from Documents,1.0,Uncategorized,"documents,sign",True,,,False,True
event_barcode,addons/enterprise/event_barcode,Event Barcode Scanning,Add barcode scanning feature to event management.,,Tools,"barcodes,event",,,OEEL-1,True,True
event_barcode_mobile,addons/enterprise/event_barcode_mobile,Event Barcode in Mobile,Event Barcode scan in Mobile,1.0,Mobile,"event_barcode,web_mobile",True,,OEEL-1,True,True
event_enterprise,addons/enterprise/event_enterprise,Events Organization Add-on,Displays cohort analysis on attendees.,,Marketing,"event,web_cohort",True,,OEEL-1,False,True
helpdesk,addons/enterprise/helpdesk,Helpdesk,Track help tickets,1.2,Helpdesk,"base_setup,mail,utm,rating,web_tour,resource,portal,digest",,True,OEEL-1,True,True
helpdesk_sale_timesheet,addons/enterprise/helpdesk_sale_timesheet,Sell Helpdesk Timesheet,"Project, Helpdesk, Timesheet and Sale Orders",,Hidden,"helpdesk_timesheet,sale_timesheet",True,,,False,True
helpdesk_timesheet,addons/enterprise/helpdesk_timesheet,Helpdesk Timesheet,"Project, Tasks, Timesheet",,Helpdesk,"helpdesk,hr_timesheet",,,,False,True
hr_appraisal,addons/enterprise/hr_appraisal,Appraisal,Assess your employees,1.0,Human Resources,"hr,calendar,survey",,True,OEEL-1,False,True
hr_contract_salary,addons/enterprise/hr_contract_salary,HR Contract Salary (Belgium),Salary Package Configurator,,Human Resource,"hr,website,hr_recruitment,l10n_be_hr_payroll_fleet,sign",,,,False,True
hr_holidays_gantt,addons/enterprise/hr_holidays_gantt,Leaves Gantt,Gantt view for Leaves Dashboard,1.0,Human Resources,"hr_holidays,web_gantt",True,,OEEL-1,False,True
